Model,Hyperparameters,Method,Accuracy,ROC-AUC,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1
XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",Class Weight,0.6353542301267564,0.6847107386191881,0.651557831839522,0.6956165132598195,0.6728667136812412,0.613381178377127,0.5648651529687666,0.5881243063263041
XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",SMOTE,0.6188464183944188,0.6796676792304488,0.6794285076459426,0.5547252346669097,0.6107766405779651,0.5712154453707766,0.6938492698006609,0.6265883711975356
XGBoost,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01}",Class Weight,0.6386950967868723,0.6886618026961605,0.6545392433171064,0.6984416294541147,0.6757781500749493,0.6172353961827646,0.5688092953842874,0.5920337290580273
XGBoost,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01}",SMOTE,0.6234646752481084,0.684639938522823,0.6841812312145163,0.5601020687141165,0.6159551012226899,0.5754990765983643,0.6975802153288562,0.630686198920586
XGBoost,"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.01}",Class Weight,0.6417903114866856,0.6972369057781573,0.6690231362467867,0.664084571220268,0.6665447061513835,0.6104417670682731,0.6157126105958853,0.6130658600010614
XGBoost,"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.01}",SMOTE,0.6299007566080377,0.6945242362242884,0.6910686514107977,0.5669370272487013,0.6228785982478098,0.5813953488372093,0.7035497281739687,0.6366661843437997
RandomForest,"{'n_estimators': 100, 'max_depth': 5}",Class Weight,0.6190429399626609,0.6667197084512652,0.6397256706311312,0.6715574592180807,0.6552552018495466,0.5920769666100736,0.5576164587997016,0.5743302591128678
RandomForest,"{'n_estimators': 100, 'max_depth': 5}",SMOTE,0.6200255478038714,0.6651431676940402,0.6390964528042601,0.6781190194112823,0.6580297134771843,0.5945356445873035,0.55207333972924,0.5725182401061243
RandomForest,"{'n_estimators': 300, 'max_depth': 10}",Class Weight,0.6353050997346958,0.6841013944034292,0.6503218157181572,0.6998086211610316,0.6741582898029059,0.6145565176690849,0.5598550261166187,0.5859318346627991
RandomForest,"{'n_estimators': 300, 'max_depth': 10}",SMOTE,0.6328485801316694,0.6817191188228555,0.6499571550985432,0.6912421397976852,0.6699642273550325,0.6098572086596039,0.5645453576377785,0.586327151951287
RandomForest,"{'n_estimators': 500, 'max_depth': None}",Class Weight,0.621843372310111,0.6662290670864235,0.6360691144708424,0.6978036999908868,0.6655078006170961,0.6012506012506013,0.5329922183136127,0.5650675255693055
RandomForest,"{'n_estimators': 500, 'max_depth': None}",SMOTE,0.6199272870197504,0.6647654149844965,0.647740757644911,0.6466782101521917,0.6472090477927763,0.5875093095010108,0.5886366059055538,0.5880724174653887
LogisticRegression,"{'C': 0.01, 'penalty': 'l2'}",Class Weight,0.6213520683895057,0.6571660864468594,0.6335241210139002,0.7060967830128497,0.6678446752575098,0.6030280649926145,0.5222257755036777,0.5597257926306769
LogisticRegression,"{'C': 0.01, 'penalty': 'l2'}",SMOTE,0.6190429399626609,0.6536688162092741,0.6323710831482853,0.7007199489656429,0.6647933598478298,0.599267846247712,0.5235049568276303,0.5588302230314065
LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",Class Weight,0.621008155645082,0.6571121897763553,0.6334015554645928,0.7050943224277773,0.6673279282387442,0.6024081582503993,0.5226521692783286,0.5597031963470319
LogisticRegression,"{'C': 0.1, 'penalty': 'l2'}",SMOTE,0.6180603321214503,0.6538348777964399,0.6301358717760963,0.7058233846714663,0.6658356258596974,0.5996527347141263,0.5154034751092634,0.5543453336390736
LogisticRegression,"{'C': 1, 'penalty': 'l2'}",Class Weight,0.6212538076053847,0.657104379227854,0.6336171606353365,0.7052765879886995,0.6675292189588994,0.6027027027027027,0.5229719646093167,0.5600136978482964
LogisticRegression,"{'C': 1, 'penalty': 'l2'}",SMOTE,0.6187972880023582,0.6538657411205551,0.6301636157459906,0.7090130319876059,0.6672670354646426,0.6012737262737263,0.5132715062360089,0.5537983782851228
