Model,Hyperparameters,Method,Accuracy,ROC-AUC,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1
XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",Class Weight,0.6353542301267564,0.6847107386191881,0.651557831839522,0.6956165132598195,0.6728667136812412,0.613381178377127,0.5648651529687666,0.5881243063263041
XGBoost,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05}",SMOTE,0.6188464183944188,0.6796676792304488,0.6794285076459426,0.5547252346669097,0.6107766405779651,0.5712154453707766,0.6938492698006609,0.6265883711975356
XGBoost,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01}",Class Weight,0.6386950967868723,0.6886618026961605,0.6545392433171064,0.6984416294541147,0.6757781500749493,0.6172353961827646,0.5688092953842874,0.5920337290580273
XGBoost,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01}",SMOTE,0.6234646752481084,0.684639938522823,0.6841812312145163,0.5601020687141165,0.6159551012226899,0.5754990765983643,0.6975802153288562,0.630686198920586
XGBoost,"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.01}",Class Weight,0.6417903114866856,0.6972369057781573,0.6690231362467867,0.664084571220268,0.6665447061513835,0.6104417670682731,0.6157126105958853,0.6130658600010614
XGBoost,"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.01}",SMOTE,0.6299007566080377,0.6945242362242884,0.6910686514107977,0.5669370272487013,0.6228785982478098,0.5813953488372093,0.7035497281739687,0.6366661843437997
XGBoost,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",Class Weight,0.642478136975533,0.6972835699196076,0.6719389653889095,0.6581609404902944,0.6649785921458496,0.6095148865292526,0.6241338876452404,0.6167377679464897
XGBoost,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.8}",SMOTE,0.627788149749435,0.6925835335004966,0.6881994459833795,0.5660256994440901,0.6211621162116212,0.5796628122517433,0.7000319795330988,0.6341863833896668
XGBoost,"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'reg_alpha': 0.01, 'reg_lambda': 1.5}",Class Weight,0.6450329173626805,0.6995682233585276,0.6755010301554598,0.6573407454661442,0.666297168721999,0.6114096734187681,0.6306363927086664,0.6208742194469223
XGBoost,"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'reg_alpha': 0.01, 'reg_lambda': 1.5}",SMOTE,0.6299990173921588,0.6952102093039507,0.6885820731974578,0.5726783924177526,0.6253047415294293,0.5823833273957962,0.6970472231105426,0.6345771264981319
